,PropertyUrl,sq ft,sqft lot,acres lot,FoodFactor
2,https://www.realtor.com/realestateandhomes-detail/14454-SW-165th-Ter_Miami_FL_33177_M66014-15168,"1,896",,0.28,  2/10
0,https://www.realtor.com/realestateandhomes-detail/12799-SW-257th-St_Homestead_FL_33032_M55006-40491,"1,221","4,950",,  4/10
4,https://www.realtor.com/realestateandhomes-detail/17-SW-113th-Ct_Miami_FL_33174_M63405-84540,"1,251","3,483",,  1/10
7,https://www.realtor.com/realestateandhomes-detail/2035-SW-84th-Ave_Miami_FL_33155_M63828-47267,"1,734","7,500",,  4/10
3,https://www.realtor.com/realestateandhomes-detail/8301-SW-61st-Ave_South-Miami_FL_33143_M50211-83845,"2,441",,0.26,  5/10
5,https://www.realtor.com/realestateandhomes-detail/266-Ocean-Blvd_Golden-Beach_FL_33160_M53687-40057,"6,467",,0.34,  9/10
1,https://www.realtor.com/realestateandhomes-detail/18600-NW-10th-Ave_Miami_FL_33169_M64718-98348,"1,536","8,762",,  1/10
6,https://www.realtor.com/realestateandhomes-detail/17000-NW-54th-Ct_Miami-Gardens_FL_33055_M68159-74795,"1,104","8,250",,  1/10
9,https://www.realtor.com/realestateandhomes-detail/20620-SW-124th-Ct_Miami_FL_33177_M64124-90872,"1,140","7,355",,  2/10
12,https://www.realtor.com/realestateandhomes-detail/2872-SW-139th-Ct_Miami_FL_33175_M51011-05595,"1,865","6,008",,  3/10
10,https://www.realtor.com/realestateandhomes-detail/1628-NW-9th-Ave_Homestead_FL_33030_M55618-63543,"1,430","9,282",,  3/10
15,https://www.realtor.com/realestateandhomes-detail/20261-SW-317th-St_Homestead_FL_33030_M61138-53470,"1,308",,0.4,  1/10
13,https://www.realtor.com/realestateandhomes-detail/2300-Sunset-Dr_Miami-Beach_FL_33140_M66627-45463,"5,255",,0.3,  10/10
8,https://www.realtor.com/realestateandhomes-detail/1779-NE-175th-St_North-Miami-Beach_FL_33162_M64912-99383,"1,176","5,750",,  5/10
11,https://www.realtor.com/realestateandhomes-detail/1850-NE-207th-St_Miami_FL_33179_M55707-70593,"1,867","8,720",,  6/10
16,https://www.realtor.com/realestateandhomes-detail/13471-SW-62nd-Ave_Miami_FL_33156_M51108-59735,"4,546",,0.88,  1/10
19,https://www.realtor.com/realestateandhomes-detail/1960-NW-188th-Ter_Miami-Gardens_FL_33056_M65257-47635,"1,643","7,500",,  1/10
17,https://www.realtor.com/realestateandhomes-detail/6568-SW-38th-St_Miami_FL_33155_M69258-12049,"1,133","5,250",,  1/10
14,https://www.realtor.com/realestateandhomes-detail/1745-NW-82nd-St_Miami_FL_33147_M94575-03423,"1,445","5,340",,  7/10
18,https://www.realtor.com/realestateandhomes-detail/1160-W-28th-St_Hialeah_FL_33010_M52795-85401,"1,820","8,798",,  6/10
21,https://www.realtor.com/realestateandhomes-detail/7801-SW-88th-Ter_Miami_FL_33156_M64015-32026,"2,560","6,508",,  2/10
22,https://www.realtor.com/realestateandhomes-detail/822-Milan-Ave_Coral-Gables_FL_33134_M52355-97557,"1,180","5,200",,  7/10
25,https://www.realtor.com/realestateandhomes-detail/9120-SW-56th-St_Miami_FL_33165_M58475-10631,"2,455","9,130",,  6/10
23,https://www.realtor.com/realestateandhomes-detail/132-NE-124th-St_North-Miami_FL_33161_M59739-36303,"1,892","7,500",,  6/10
26,https://www.realtor.com/realestateandhomes-detail/4737-SW-5th-Ter_Coral-Gables_FL_33134_M69345-51356,"1,361","5,250",,  6/10
28,https://www.realtor.com/realestateandhomes-detail/2835-NW-88th-St_Miami_FL_33147_M69885-42002,863,"5,093",,  5/10
29,https://www.realtor.com/realestateandhomes-detail/5201-NW-105th-Ct_Doral_FL_33178_M64774-76867,"2,885","8,936",,  1/10
30,https://www.realtor.com/realestateandhomes-detail/17410-NW-37th-Ave_Miami-Gardens_FL_33056_M65687-90623,"2,338","7,500",,  3/10
24,https://www.realtor.com/realestateandhomes-detail/17333-SW-142nd-Ct_Miami_FL_33177_M68586-61969,"1,171","3,939",,  2/10
31,https://www.realtor.com/realestateandhomes-detail/740-NW-178th-Ter_Miami_FL_33169_M50464-64675,"1,829","8,056",,  1/10
