date,sessions
1/1/17,88215
1/2/17,88484
1/3/17,87877
1/4/17,86780
1/5/17,84622
1/6/17,84607
1/7/17,84362
1/8/17,84912
1/9/17,84367
1/10/17,85991
1/11/17,86562
1/12/17,86761
1/13/17,85735
1/14/17,85386
1/15/17,84023
1/16/17,83504
1/17/17,83795
1/18/17,85127
1/19/17,84971
1/20/17,86433
1/21/17,88094
1/22/17,89120
1/23/17,89184
1/24/17,90188
1/25/17,88540
1/26/17,88693
1/27/17,88031
1/28/17,86601
1/29/17,87447
1/30/17,87716
1/31/17,87042
2/1/17,87039
2/2/17,86197
2/3/17,84339
2/4/17,85095
2/5/17,84764
2/6/17,83386
2/7/17,82621
2/8/17,83256
2/9/17,82997
2/10/17,84614
2/11/17,84480
2/12/17,86006
2/13/17,86436
2/14/17,85711
2/15/17,84115
2/16/17,83612
2/17/17,84812
2/18/17,85036
2/19/17,84844
2/20/17,83745
2/21/17,85598
2/22/17,84914
2/23/17,85813
2/24/17,86634
2/25/17,86995
2/26/17,88356
2/27/17,87731
2/28/17,89142
3/1/17,90383
3/2/17,90686
3/3/17,93692
3/4/17,93800
3/5/17,93502
3/6/17,93786
3/7/17,92292
3/8/17,91104
3/9/17,90193
3/10/17,90341
3/11/17,89314
3/12/17,88861
3/13/17,88853
3/14/17,89992
3/15/17,90246
3/16/17,90968
3/17/17,89741
3/18/17,88718
3/19/17,88335
3/20/17,87898
3/21/17,87666
3/22/17,88600
3/23/17,90110
3/24/17,90401
3/25/17,90370
3/26/17,90346
3/27/17,89691
3/28/17,90643
3/29/17,90489
3/30/17,91289
3/31/17,89290
4/1/17,88668
4/2/17,89804
4/3/17,88989
4/4/17,89976
4/5/17,88239
4/6/17,87444
4/7/17,86951
4/8/17,85434
4/9/17,85655
4/10/17,85105
